City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Collie,AU,-33.3667,116.15,52.99,76,100,6.82,overcast clouds
299,Harper,LR,4.375,-7.7169,74.88,76,100,6.58,overcast clouds
300,Muhos,FI,64.808,25.9931,47.98,91,58,1.61,broken clouds
301,Suruc,TR,36.9761,38.425,79.0,33,0,13.58,clear sky
302,Syracuse,IT,37.0881,15.2792,78.62,63,0,4.83,clear sky
303,Kedrovyy,RU,56.1667,91.8167,66.61,55,44,11.7,scattered clouds
304,Tiznit,MA,29.5833,-9.5,90.36,23,66,12.03,broken clouds
305,Nouadhibou,MR,20.931,-17.0347,67.98,94,0,9.22,clear sky
306,Harwich,GB,51.9419,1.2844,64.0,88,99,7.0,overcast clouds
307,Howard Springs,AU,-12.497,131.047,87.87,54,18,1.83,few clouds
308,Saint Anthony,US,45.0205,-93.218,88.25,69,1,3.0,clear sky
309,Tingo Maria,PE,-9.2895,-76.0088,67.66,90,0,2.33,clear sky
310,Binzhou,CN,37.3667,118.0167,96.28,55,97,4.16,light rain
311,Nanortalik,GL,60.1432,-45.2371,42.19,89,83,10.83,broken clouds
312,Portland,US,45.5234,-122.6762,86.58,39,20,1.99,few clouds
313,Pohrebyshche,UA,49.4864,29.2636,62.49,70,95,5.06,overcast clouds
314,Lafiagi,NG,8.8667,5.4167,73.76,92,100,3.58,overcast clouds
315,Korla,CN,41.7597,86.1469,89.06,26,0,1.07,clear sky
316,Biryusinsk,RU,55.9634,97.8235,72.27,54,0,11.18,clear sky
317,Porto Novo,BJ,6.4965,2.6036,78.62,80,12,7.36,few clouds
318,Yeppoon,AU,-23.1333,150.7333,78.58,42,0,8.66,clear sky
319,Smila,UA,49.2224,31.8871,61.05,72,20,3.6,few clouds
320,Naze,JP,28.3667,129.4833,77.92,91,100,26.55,moderate rain
321,Bagaha,IN,27.1,84.0833,83.8,80,19,15.9,few clouds
322,Namibe,AO,-15.1961,12.1522,64.38,84,0,3.76,clear sky
323,Erenhot,CN,43.6475,111.9767,80.08,45,100,2.62,overcast clouds
324,Aswan,EG,24.0934,32.907,87.1,28,0,6.91,clear sky
325,Lahaina,US,20.8783,-156.6825,84.96,85,27,13.6,scattered clouds
326,Ratnagiri,IN,16.9833,73.3,80.15,85,100,12.86,light rain
327,Mazagao,BR,-0.115,-51.2894,84.25,87,76,4.43,broken clouds
328,Malanje,AO,-9.5402,16.341,59.36,31,56,4.09,broken clouds
329,Tibiri,NE,13.5627,7.0485,77.09,79,87,10.69,overcast clouds
330,Padang,ID,-0.9492,100.3543,77.05,69,100,1.5,overcast clouds
331,Touros,BR,-5.1989,-35.4608,72.5,84,18,15.43,few clouds
332,Langsa,ID,4.4683,97.9683,82.47,70,100,3.27,overcast clouds
333,Hofn,IS,64.2539,-15.2082,53.49,99,100,5.1,overcast clouds
334,Imeni Poliny Osipenko,RU,52.4201,136.4853,89.02,55,37,7.27,scattered clouds
335,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,70.39,60,75,2.24,broken clouds
336,Hammerfest,NO,70.6634,23.6821,45.05,93,90,12.66,light intensity drizzle
337,Isangel,VU,-19.55,169.2667,82.51,74,75,0.0,broken clouds
338,Thompson,CA,55.7435,-97.8558,66.36,59,75,19.57,smoke
339,Singaraja,ID,-8.112,115.0882,82.9,56,7,0.92,clear sky
340,Santa Rosa,PH,14.3122,121.1114,78.91,81,100,18.75,moderate rain
341,Kampot,KH,10.6167,104.1833,84.25,77,100,11.3,overcast clouds
342,Hami,CN,42.8,93.45,85.86,45,62,15.12,broken clouds
343,Rawson,AR,-43.3002,-65.1023,46.33,41,38,10.18,scattered clouds
344,Emerald,AU,-23.5333,148.1667,73.54,31,0,8.05,clear sky
345,Monywa,MM,22.1167,95.1333,83.07,75,79,9.1,broken clouds
346,Sorong,ID,-0.8833,131.25,79.65,77,100,14.43,light rain
